tsample,q1,q2,qd1,qd2,qdd1,qdd2
5.95,0.0238849479166667,0.26,0.00460208333333333,0,-0.0920416666666667,0
6,0.024,0.26,0,0,0,-0.0315571428571429
6.05,0.024,0.259960553571429,0,-0.00157785714285714,0,-0.0315571428571429
6.1,0.024,0.259842214285714,0,-0.00315571428571427,0,-0.0315571428571429
6.15,0.024,0.259644982142857,0,-0.00473357142857144,0,-0.0315571428571429
6.2,0.024,0.259368857142857,0,-0.00631142857142858,0,-0.0315571428571429
6.25,0.024,0.259013839285714,0,-0.00788928571428571,0,-0.0315571428571429
6.3,0.024,0.258579928571429,0,-0.00946714285714285,0,-0.0315571428571429
6.35,0.024,0.258067125,0,-0.011045,0,-0.0315571428571429
6.4,0.024,0.257475428571429,0,-0.0126228571428572,0,-0.0315571428571429
6.45,0.024,0.256804839285714,0,-0.0142007142857143,0,-0.0315571428571429
6.5,0.024,0.256055357142857,0,-0.0157785714285714,0,-0.0315571428571429
6.55,0.024,0.255226982142857,0,-0.0173564285714286,0,-0.0315571428571429
6.6,0.024,0.254319714285714,0,-0.0189342857142857,0,-0.0315571428571429
6.65,0.024,0.253333553571429,0,-0.0205121428571429,0,-0.0315571428571429
6.7,0.024,0.2522685,0,-0.02209,0,-0.0315571428571429
6.75,0.024,0.251124553571429,0,-0.0236678571428571,0,-0.0315571428571429
6.8,0.024,0.249901714285714,0,-0.0252457142857143,0,-0.0315571428571429
6.85,0.024,0.248599982142857,0,-0.0268235714285714,0,-0.0315571428571429
6.9,0.024,0.247219357142857,0,-0.0284014285714286,0,-0.0315571428571429
6.95,0.024,0.245759839285714,0,-0.0299792857142857,0,-0.0315571428571429
7,0.024,0.244221428571429,0,-0.0315571428571429,0,-0.0315571428571429
7.05,0.024,0.242604125,0,-0.033135,0,-0.0315571428571429
7.1,0.024,0.240907928571429,0,-0.0347128571428571,0,-0.0315571428571429
7.15,0.024,0.239132839285714,0,-0.0362907142857143,0,-0.0315571428571429
7.2,0.024,0.237278857142857,0,-0.0378685714285714,0,-0.0315571428571429
